"","Site","UTME","UTMN"
"1",1,508021,6133345
"2",2,506851,6134232
"3",3,491294,6135929
"4",4,490524,6139684
"5",5,528066,6140744
"6",6,526350,6138402
"7",7,525611,6135595
"8",8,520901,6134190
"9",9,516274,6137938
"10",10,516320,6139744
"12",12,522585,6144598
"13",13,515053,6143649
"14",14,511668,6146715
"15",15,508729,6147166
"16",16,506845,6154177
"17",17,506718,6156256
"18",18,504682,6157422
"19",19,503532,6155872
"20",20,495781,6156384
"21",21,492430,6163470
"22",22,486222,6135687
"23",23,487296,6140431
"24",24,489227,6141578
"25",25,501277,6133821
"26",26,491362,6167822
"27",27,493112,6172291
"28",28,494411,6169861
"29",29,496078,6168661
"30",30,497856,6176433
"31",31,500039,6176084
"32",32,524862,6174459
"33",33,522567,6170795
"34",34,517386,6164694
"35",35,507352,6170675
"36",36,507163,6175561
"37",37,506391,6179454
"38",38,508346,6182591
"39",39,508626,6187785
"40",40,510102,6189676
"41",41,510493,6185669
"42",42,512711,6185846
"43",43,515013,6185432
"44",44,518500,6185445
"45",45,521618,6185550
"46",46,524842,6185596
"47",47,528034,6185876
"48",48,530778,6186429
"49",49,532295,6187485
"50",50,534313,6188292
"51",51,537393,6191911
"52",52,541358,6191251
"53",53,546659,6193934
"54",54,545149,6189743
"55",55,544703,6185664
"56",56,544355,6183113
"57",57,544622,6181716
"58",58,498361,6161666
"59",59,508135,6152636
"60",60,522093,6134612
"61",61,508807,6184265
"62",62,523138,6172034
"63",63,493451,6135761
